loan_id,amount,duration,payments,status,frequency,num_clients,sex,has_card,num_salaries,average_balance_fluctuation_per_month,recent_balance,num_household_payments,num_payments_for_statement,num_insurrance_payments,num_sanction_payments,num_interests_credited,num_transactions,ratio_credits,ratio_withdrawals,avg_balance,min_balance,max_balance,avg_credit,avg_withdrawal,salary,code,name,region,population,munip<499,munip500-1999,munip2000-9999,munip>10000,cities,urbanization,avg_salary,unemployment96,entrepreneurs/1000,crimerate96,crimegrowth,unempgrowth,code_branch,name_branch,region_branch,population_branch,munip<499_branch,munip500-1999_branch,munip2000-9999_branch,munip>10000_branch,cities_branch,urbanization_branch,avg_salary_branch,unemployment96_branch,entrepreneurs/1000_branch,crimerate96_branch,crimegrowth_branch,unempgrowth_branch,age_when_loan,account_age_when_loan
5314,96396,12,8033,-1,0,1,0,0,2.0,9500.0,20100.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,12250.0,1100.0,20100.0,5025.0,0.0,0.0,30,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100,0.029574315487491034,0.9393634840871021,1.0857988165680474,30,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100,0.029574315487491034,0.9393634840871021,1.0857988165680474,45.95482546201232,0.2874743326488706
6903,52128,24,2172,1,1,1,0,0,8.0,2438.25,58659.8,0.0,5.0,0.0,6.0,26.0,71.0,0.5492957746478874,0.4084507042253521,33459.68028169014,144.2,59944.2,6244.838461538463,4819.820689655172,0.0,11,1,1,75637,35,36,9,0,7,36.5,9622,0.59,154,0.046657059375702366,1.0155395683453237,1.3111111111111111,30,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100,0.029574315487491034,0.9393634840871021,1.0857988165680474,34.8829568788501,0.7227926078028748
5316,165960,36,4610,1,1,1,1,0,4.0,12876.500000000002,52208.9,2.0,3.0,3.0,0.0,5.0,37.0,0.4594594594594595,0.4864864864864865,52083.85945945945,700.0,120512.8,13523.158823529413,9111.266666666666,0.0,46,2,2,112709,48,20,7,3,10,73.5,8369,2.31,117,0.023227958725567613,0.9173090399439383,1.2905027932960893,46,1,1,112709,48,20,7,3,10,73.5,8369,2.31,117,0.023227958725567613,0.9173090399439383,1.2905027932960893,24.969199178644764,0.405201916495551
6456,47016,12,3918,1,2,1,0,0,7.0,4648.6285714285705,58773.2,4.0,4.0,0.0,0.0,8.0,42.0,0.5238095238095238,0.4523809523809524,60382.085714285706,200.0,112901.6,13031.063636363637,11706.526315789473,0.0,46,2,2,112709,48,20,7,3,10,73.5,8369,2.31,117,0.023227958725567613,0.9173090399439383,1.2905027932960893,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,35.93976728268309,0.6543463381245722
6509,55368,24,2307,1,1,1,0,0,11.0,-1303.5999999999992,12414.4,0.0,10.0,0.0,0.0,22.0,98.0,0.47959183673469385,0.3979591836734694,46061.31938775509,200.0,113350.7,9204.863829787233,6775.538461538462,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,54.220396988364136,0.9911019849418207
6808,227880,36,6330,1,1,2,0,0,12.0,1610.216666666666,53716.6,0.0,11.0,0.0,0.0,24.0,83.0,0.5421686746987951,0.43373493975903615,45134.72168674699,1100.0,153213.7,8119.228888888889,8290.572222222221,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,38.93771389459275,1.0458590006844628
6745,47304,24,1971,1,1,1,1,0,16.0,815.0250000000001,62458.3,14.0,15.0,0.0,0.0,34.0,167.0,0.4550898203592814,0.49700598802395207,68740.02335329342,400.0,148093.0,15647.294736842105,12171.481927710845,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,23.685147159479808,1.4127310061601643
6764,33984,48,708,1,1,1,1,0,11.0,2763.7636363636366,44465.4,0.0,7.0,0.0,0.0,22.0,70.0,0.5142857142857142,0.4857142857142857,38587.76,600.0,55077.5,5087.997222222222,4079.476470588235,13464.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,23.058179329226558,1.0047912388774811
6933,188688,48,3931,1,1,1,0,0,5.0,4635.9400000000005,23579.7,1.0,1.0,0.0,0.0,5.0,22.0,0.5454545454545454,0.3181818181818182,42203.17272727273,400.0,71255.7,10950.116666666667,10188.228571428572,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,30.130047912388775,0.4380561259411362
5494,360000,48,7500,1,2,1,0,0,19.0,3377.115789473684,64765.2,0.0,14.0,0.0,6.0,36.0,136.0,0.41911764705882354,0.5294117647058824,51149.655147058824,600.0,126072.0,18340.457894736843,12175.105555555556,48819.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,23.26899383983573,1.5824777549623545
5725,444864,48,9268,1,1,2,1,0,11.0,3722.1727272727276,41743.9,6.0,6.0,0.0,0.0,10.0,64.0,0.421875,0.578125,32404.773437500004,800.0,62903.5,8397.544444444444,4999.7189189189185,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,32.31759069130732,0.9390828199863107
6283,85632,48,1784,1,1,1,0,0,16.0,7277.418750000001,117238.7,0.0,10.0,0.0,0.0,15.0,85.0,0.4470588235294118,0.5411764705882353,65066.73529411766,800.0,156504.1,18351.102631578946,12868.391304347826,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,47.34565366187543,1.352498288843258
6995,96168,12,8014,1,0,1,0,0,20.0,150.4649999999994,3609.3,0.0,16.0,0.0,0.0,57.0,149.0,0.5637583892617449,0.3959731543624161,50492.688590604026,600.0,138010.1,7330.079761904762,8958.983050847457,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,24.123203285420946,1.6865160848733745
6585,372120,60,6202,1,1,2,1,0,21.0,1759.7809523809524,46580.5,0.0,20.0,0.0,0.0,21.0,172.0,0.4127906976744186,0.5290697674418605,64044.04593023255,500.0,128495.4,18717.614084507044,12748.26373626374,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,51.75633127994524,1.8151950718685832
6073,276300,60,4605,1,1,1,1,0,16.0,1692.38125,27578.1,11.0,11.0,0.0,0.0,15.0,92.0,0.4891304347826087,0.5108695652173914,25997.563043478258,500.0,40755.0,3480.195555555555,2745.331914893617,5925.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,20.35318275154004,1.3333333333333333
7249,69360,48,1445,1,1,1,1,0,14.0,1836.4285714285713,38665.0,0.0,10.0,0.0,0.0,14.0,78.0,0.3974358974358974,0.6025641025641025,33857.10641025642,1100.0,52365.0,6597.1322580645165,3528.6382978723404,11855.0,46,2,2,112709,48,20,7,3,10,73.5,8369,2.31,117,0.023227958725567613,0.9173090399439383,1.2905027932960893,11,3,3,75637,35,36,9,0,7,36.5,9622,0.59,154,0.046657059375702366,1.0155395683453237,1.3111111111111111,52.87337440109514,1.2320328542094456
6678,80340,12,6695,1,1,2,0,0,10.0,8824.26,89342.6,0.0,5.0,0.0,0.0,9.0,52.0,0.4230769230769231,0.5384615384615384,61531.59038461538,1100.0,122523.5,20306.622727272726,11824.035714285714,40840.0,1,4,4,1204953,0,0,0,1,1,100.0,12541,0.43,167,0.08224968110789384,1.15675152024464,1.4827586206896552,11,3,3,75637,35,36,9,0,7,36.5,9622,0.59,154,0.046657059375702366,1.0155395683453237,1.3111111111111111,18.28336755646817,0.8733744010951403
