loan_id,amount,duration,payments,status,frequency,num_clients,sex,has_card,num_salaries,average_balance_fluctuation_per_month,recent_balance,num_household_payments,num_payments_for_statement,num_insurrance_payments,num_sanction_payments,num_interests_credited,ratio_credits,avg_balance,min_balance,max_balance,avg_credit,avg_withdrawal,salary,code,name,region,population,munip<499,munip500-1999,munip2000-9999,munip>10000,cities,urbanization,avg_salary,unemployment96,entrepreneurs/1000,crimerate96,crimegrowth,unempgrowth,code_branch,name_branch,region_branch,population_branch,munip<499_branch,munip500-1999_branch,munip2000-9999_branch,munip>10000_branch,cities_branch,urbanization_branch,avg_salary_branch,unemployment96_branch,entrepreneurs/1000_branch,crimerate96_branch,crimegrowth_branch,unempgrowth_branch,age_when_loan
5314,96396,12,8033,-1,0,1,0,0,2.0,9500.0,20100.0,0.0,0.0,0.0,0.0,0.0,1.0,12250.0,1100.0,20100.0,5025.0,0.0,0.0,30,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100,0.029574315487491034,0.9393634840871021,1.0857988165680474,30,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100,0.029574315487491034,0.9393634840871021,1.0857988165680474,45.95482546201232
6903,52128,24,2172,1,1,1,0,0,8.0,2438.25,58659.8,0.0,5.0,0.0,6.0,26.0,0.5492957746478874,33459.68028169014,144.2,59944.2,6244.838461538463,4819.820689655172,0.0,11,1,1,75637,35,36,9,0,7,36.5,9622,0.59,154,0.046657059375702366,1.0155395683453237,1.3111111111111111,30,0,0,94812,15,13,8,2,10,81.8,9650,3.67,100,0.029574315487491034,0.9393634840871021,1.0857988165680474,34.8829568788501
5316,165960,36,4610,1,1,1,1,0,4.0,12876.500000000002,52208.9,2.0,3.0,3.0,0.0,5.0,0.4594594594594595,52083.85945945945,700.0,120512.8,13523.158823529413,9111.266666666666,0.0,46,2,2,112709,48,20,7,3,10,73.5,8369,2.31,117,0.023227958725567613,0.9173090399439383,1.2905027932960893,46,1,1,112709,48,20,7,3,10,73.5,8369,2.31,117,0.023227958725567613,0.9173090399439383,1.2905027932960893,24.969199178644764
6456,47016,12,3918,1,2,1,0,0,7.0,4648.6285714285705,58773.2,4.0,4.0,0.0,0.0,8.0,0.5238095238095238,60382.085714285706,200.0,112901.6,13031.063636363637,11706.526315789473,0.0,46,2,2,112709,48,20,7,3,10,73.5,8369,2.31,117,0.023227958725567613,0.9173090399439383,1.2905027932960893,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,35.93976728268309
6509,55368,24,2307,1,1,1,0,0,11.0,-1303.5999999999992,12414.4,0.0,10.0,0.0,0.0,22.0,0.47959183673469385,46061.31938775509,200.0,113350.7,9204.863829787233,6775.538461538462,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,54.220396988364136
6808,227880,36,6330,1,1,2,0,0,12.0,1610.216666666666,53716.6,0.0,11.0,0.0,0.0,24.0,0.5421686746987951,45134.72168674699,1100.0,153213.7,8119.228888888889,8290.572222222221,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,38.93771389459275
6745,47304,24,1971,1,1,1,1,0,16.0,815.0250000000001,62458.3,14.0,15.0,0.0,0.0,34.0,0.4550898203592814,68740.02335329342,400.0,148093.0,15647.294736842105,12171.481927710845,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,23.685147159479808
6764,33984,48,708,1,1,1,1,0,11.0,2763.7636363636366,44465.4,0.0,7.0,0.0,0.0,22.0,0.5142857142857142,38587.76,600.0,55077.5,5087.997222222222,4079.476470588235,13464.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,23.058179329226558
6933,188688,48,3931,1,1,1,0,0,5.0,4635.9400000000005,23579.7,1.0,1.0,0.0,0.0,5.0,0.5454545454545454,42203.17272727273,400.0,71255.7,10950.116666666667,10188.228571428572,0.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,30.130047912388775
5494,360000,48,7500,1,2,1,0,0,19.0,3377.115789473684,64765.2,0.0,14.0,0.0,6.0,36.0,0.41911764705882354,51149.655147058824,600.0,126072.0,18340.457894736843,12175.105555555556,48819.0,64,3,3,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,9624,2.31,145,0.021638871835980903,0.9511596788581623,1.4437499999999999,23.26899383983573
